size,count,normal
3,1,international affairs was
3,1,affairs was inevitable
3,1,was inevitable the
3,1,inevitable the us
3,1,the us eventually
3,1,us eventually would
3,1,eventually would have
3,1,would have to
3,1,have to take
3,1,to take up
3,1,take up its
3,1,up its true
3,1,its true part
3,1,true part in
3,1,in the affairs
3,1,the affairs of
3,1,affairs of the
3,1,the world congress
3,1,world congress didn't
3,1,congress didn't 
3,1,didn't  want
3,1, want to
3,1,want to hear
3,1,to hear it
3,1,in 1926 it
3,1,1926 it passed
3,1,it passed a
3,1,passed a resolution
3,1,a resolution noting
3,1,resolution noting that
3,1,noting that since
3,1,that since november
3,1,since november 11
3,1,november 11 1918
3,1,11 1918 marked
3,1,1918 marked the
3,1,marked the cessation
3,1,the cessation of
3,1,cessation of the
3,1,of the most
3,1,the most destructive
3,1,most destructive sanguinary
3,1,destructive sanguinary and
3,1,sanguinary and far
3,1,and far reaching
3,1,far reaching war
3,1,reaching war in
3,1,war in human
3,1,in human annals
3,1,human annals and
3,1,annals and the
3,1,and the resumption
3,1,the resumption by
3,1,resumption by the
3,1,by the people
3,1,the people of
3,1,people of the
3,1,states of peaceful
3,1,of peaceful relations
3,1,peaceful relations with
3,1,relations with other
3,1,with other nations
3,1,other nations which
3,1,nations which we
3,1,which we hope
3,1,we hope may
3,1,hope may never
3,1,may never again
3,1,never again be
3,1,again be severed
3,1,be severed the
3,1,severed the anniversary
3,1,anniversary of that
3,1,of that date
3,1,that date should
3,1,date should be
3,1,should be commemorated
3,1,be commemorated with
3,1,commemorated with thanksgiving
3,1,with thanksgiving and
3,1,thanksgiving and prayer
3,1,and prayer and
3,1,prayer and exercises
3,1,and exercises designed
3,1,exercises designed to
3,1,designed to perpetuate
3,1,to perpetuate peace
3,1,perpetuate peace through
3,1,peace through good
3,1,through good will
3,1,good will and
3,1,will and mutual
3,1,and mutual understanding
3,1,mutual understanding between
3,1,understanding between nations
3,1,between nations in
3,1,nations in 1938
3,1,in 1938 congress
3,1,1938 congress made
3,1,congress made november
3,1,made november 11
3,1,november 11 a
3,1,11 a legal
3,1,a legal holiday
3,1,legal holiday to
3,1,holiday to be
3,1,to be dedicated
3,1,be dedicated to
3,1,dedicated to world
3,1,to world peace
3,1,but neither the
3,1,neither the war
3,1,the war to
3,1,war to end
3,1,to end all
3,1,end all wars
3,1,all wars nor
3,1,wars nor the
3,1,nor the commemorations
3,1,the commemorations of
3,1,commemorations of it
3,1,of it ended
3,1,it ended war
3,1,just three years
3,1,three years after
3,1,years after congress
3,1,after congress made
3,1,congress made armistice
3,1,made armistice day
3,1,armistice day a
3,1,day a holiday
3,1,a holiday for
3,1,holiday for peace
3,1,for peace american
3,1,peace american armed
3,1,american armed forces
3,1,armed forces were
3,1,forces were fighting
3,1,were fighting a
3,1,fighting a second
3,1,a second world
3,1,second world war
3,1,world war even
3,1,even more devastating
3,1,more devastating than
3,1,devastating than the
3,1,than the first
3,1,the carnage of
3,1,carnage of world
3,1,war ii gave
3,1,ii gave power
3,1,gave power to
3,1,power to the
3,1,to the idea
3,1,idea of trying
3,1,of trying to
3,1,trying to stop
3,1,to stop wars
3,1,stop wars by
3,1,wars by establishing
3,1,by establishing a
3,1,establishing a rules
3,1,rather than trying
3,1,than trying to
3,1,trying to push
3,1,to push their
3,1,push their own
3,1,their own boundaries
3,1,own boundaries and
3,1,boundaries and interests
3,1,and interests whenever
3,1,interests whenever they
3,1,whenever they could
